股票代碼,公司名稱,最新收盤價,投信買超天數,投信5日淨買超,平均買超張數,5日最高價,5日最低價,價格波動率
1102,亞泥,35.95,4,14967060,2993,38.5,35.95,7.09%
1215,卜蜂,136.5,5,8197000,1639,144.0,132.5,8.68%
1216,統一,78.4,5,76829922,15365,80.0,74.6,7.24%
1303,南亞,59.9,4,3895348,779,61.4,56.5,8.67%
2027,大成鋼,35.55,4,27115000,5423,38.5,35.55,8.30%
2337,旺宏,37.15,4,6762000,1352,39.8,35.85,11.02%
2357,華碩,550.0,4,16704736,3340,600.0,550.0,9.09%
2379,瑞昱,497.0,5,2801851,560,528.0,497.0,6.24%
2458,義隆,125.5,5,5291374,1058,126.5,121.0,4.55%
2606,裕民,61.4,5,13559903,2711,64.2,59.8,7.36%
2880,華南金,31.9,5,43179474,8635,32.5,30.55,6.38%
2883,凱基金,17.55,5,9765178,1953,17.7,16.85,5.04%
2884,玉山金,33.55,5,139659570,27931,34.2,32.6,4.91%
2886,兆豐金,40.6,4,3891086,778,41.7,40.2,3.73%
2903,遠百,22.35,5,15618000,3123,23.3,22.25,4.72%
3036,文曄,152.0,4,15011000,3002,155.0,145.0,6.90%
3045,台灣大,106.0,5,30844003,6168,106.5,104.0,2.40%
3702,大聯大,59.2,4,22595137,4519,64.3,59.2,8.61%
6005,群益證,24.85,5,14621533,2924,25.15,24.05,4.57%
6274,台燿,427.0,5,4329000,865,439.0,398.5,10.16%
6770,力積電,36.8,4,6004000,1200,37.35,33.1,12.84%
8422,可寧衛,24.5,4,43771000,8754,25.1,22.3,12.56%
9904,寶成,30.75,5,2778910,555,31.6,30.65,3.10%
9907,統一實,18.1,5,13600437,2720,18.5,17.85,3.64%
